24,2,1,1.25,0.0208333333,0.1144622014,0.0194350317,0.3450170824
32,2,1,0.9375,0.015625,0.0482840074,0.0079298566,0.1393657602
48,2,1,0.625,0.0104166667,0.014347353,0.002089334,0.0364198673
64,2,1,0.46875,0.0078125,0.006334788,0.0007834954,0.0136117523
96,2,1,0.3125,0.0052083333,0.002212318,0.0001889866,0.0032744898
128,2,1,0.234375,0.00390625,0.001122761,6.71608603E-005,0.0011624639
16,3,1,1.875,0.0208333333,0.0112510175,0.0010785584,0.0208903437
21,3,1,1.428571,0.0158730159,0.0045272628,0.0002995112,0.0059807261
32,3,1,0.9375,0.0104166667,0.0012097593,0.000038287,0.0008631606
43,3,1,0.697674,0.007751938,0.0004875418,8.6501221E-006,0.0002267909
64,3,1,0.46875,0.0052083333,0.0001427025,1.1187784E-006,3.93804776E-005
85,3,1,0.352941,0.0039215686,5.91796513E-005,2.573432E-007,1.16998677E-005
12,4,1,2.5,0.0208333333,0.0020407034,4.32583741E-005,0.0010615629
16,4,1,1.875,0.015625,0.000603676,4.5532761E-006,0.0001307124
24,4,1,1.25,0.0104166667,0.0001102251,1.120797E-007,6.6845069E-006
32,4,1,0.9375,0.0078125,3.3248337E-005,1.8852E-009,8.10347E-007
48,4,1,0.625,0.0052083333,6.2112476E-006,1.3205E-009,0.000000041
64,4,1,0.46875,0.00390625,1.9053635E-006,2.461E-010,4.8241E-009
9,5,1,3.333333,0.0222222222,0.0006324622,4.3205081E-006,0.000085112
12,5,1,2.5,0.0166666667,0.0001596219,6.262007E-007,6.1592315E-006
20,5,1,1.5,0.01,1.36732301E-005,4.25114E-008,7.10898E-008
25,5,1,1.2,0.008,4.5966291E-006,1.37199E-008,4.10657E-008
39,5,1,0.769231,0.0051282051,5.026183E-007,1.1589E-009,4.3303E-009
51,5,1,0.588235,0.0039215686,1.293002E-007,2.19E-010,8.399E-010
8,6,1,3.75,0.0208333333,0.0001308746,5.390669E-007,4.544319E-007
11,6,1,2.727273,0.0151515152,1.78044066E-005,7.87971E-008,0.000000439
16,6,1,1.875,0.0104166667,1.6825853E-006,7.7665E-009,4.63981E-008
21,6,1,1.428571,0.0079365079,3.083814E-007,1.354E-009,7.7796E-009
32,6,1,0.9375,0.0052083333,2.28882E-008,7.81E-011,4.321E-010
43,6,1,0.697674,0.003875969,3.754E-009,9.7E-012,5.78E-011
24,2,1,1.25,0.0208333333,0.0367501161,0.0043285168,0.0368437368
32,2,1,0.9375,0.015625,0.0174023484,0.0014440263,0.008421306
48,2,1,0.625,0.0104166667,0.0070023265,0.0002783488,0.0008660937
64,2,1,0.46875,0.0078125,0.00386449,8.42480693E-005,0.0001649795
